case_id,client_name,category,priority,intake_date,closure_date,triage_date,triaged,contact_count,assigned_agent,status,resolution_notes,duration_days
CS-1024,Vanguard Bio,Technical Support,High,2024-03-26,2024-04-01,2024-03-26,True,4,Agent_Smith,Closed,Upgraded incompatible driver package.,6.0
CS-1025,Waveform Audio,General Inquiry,Low,2024-03-30,2024-04-02,,False,1,Agent_Davis,Closed,Sent licensing documentation.,3.0
CS-1026,Xenon Networks,Technical Support,Critical,2024-04-03,2024-04-06,2024-04-03,True,7,Agent_Taylor,Closed,Restored fiber backbone failover.,3.0
CS-1027,Yield Farming Co,Billing,Medium,2024-04-07,2024-04-16,2024-04-08,True,3,Agent_Johnson,Closed,Corrected tax calculation percentage.,9.0
CS-1028,Zenith Media,Account Access,Low,2024-04-12,2024-04-15,,False,2,Agent_Davis,Closed,Provisioned SSO single sign on.,3.0
CS-1029,Apex Solutions,Technical Support,High,2024-04-16,2024-04-22,2024-04-16,True,4,Agent_Smith,Closed,Resolved cloud storage synchronization bug.,6.0
CS-1030,BlueStar Logistics,Hardware,High,2024-04-20,2024-05-08,,False,6,Agent_Lee,Closed,Replaced barcode scanner module.,18.0
CS-1031,Cascade Media,Billing,Medium,2024-04-25,2024-05-06,2024-04-26,True,3,Agent_Johnson,Closed,Processed annual subscription discount.,11.0
CS-1032,Delta Dynamics,Technical Support,Low,2024-04-30,2024-05-09,,False,3,Agent_Smith,Closed,Assisted in report filter setup.,9.0
CS-1033,Epsilon Health,Security Alert,High,2024-05-04,2024-05-08,2024-05-04,True,6,Agent_Taylor,Closed,Isolated compromised workstation.,4.0
CS-1034,Falcon FinTech,Technical Support,Critical,2024-05-08,2024-05-12,2024-05-08,True,9,Agent_Taylor,Closed,Hotfixed transaction settlement API.,4.0
CS-1035,Galactic Retail,General Inquiry,Low,2024-05-12,2024-05-15,,False,1,Agent_Davis,Closed,Provided product feature matrix.,3.0
CS-1036,Horizon Energy,Hardware,Medium,2024-05-16,2024-06-02,2024-05-17,True,5,Agent_Lee,Closed,Replaced burned voltage regulator.,17.0
CS-1037,Infinity Labs,Billing,High,2024-05-20,2024-05-30,2024-05-20,True,4,Agent_Johnson,Closed,Re-issued consolidated enterprise invoice.,10.0
CS-1038,Jupiter Foods,Technical Support,Medium,2024-05-25,2024-06-04,2024-05-25,True,3,Agent_Smith,Closed,Fixed barcode printing layout.,10.0
CS-1039,Kestrel Security,Security Alert,High,2024-05-29,2024-06-03,2024-05-29,True,5,Agent_Taylor,Closed,Updated perimeter firewall rules.,5.0
CS-1040,Lunar Systems,Hardware,Low,2024-06-02,2024-06-20,,False,4,Agent_Lee,Closed,Installed extra memory module.,18.0
CS-1041,Matrix Global,Technical Support,High,2024-06-06,2024-06-14,2024-06-06,True,5,Agent_Smith,Closed,Troubleshot slow query latency.,8.0
CS-1042,Nexus Analytics,Billing,Medium,2024-06-10,2024-06-22,2024-06-11,True,3,Agent_Johnson,Closed,Adjusted tier-based storage charges.,12.0
CS-1043,Omega Tech,General Inquiry,Low,2024-06-15,2024-06-18,,False,2,Agent_Davis,Closed,Supplied API webhook examples.,3.0
CS-1044,Pinnacle Corp,Technical Support,Critical,2024-06-19,2024-06-24,2024-06-19,True,8,Agent_Taylor,Closed,Recovered corrupted replication partition.,5.0
CS-1045,Quantum Robotics,Hardware,High,2024-06-24,2024-07-15,,False,7,Agent_Lee,Closed,Replaced motor driver PCB.,21.0
CS-1046,Radiant Solar,Technical Support,Medium,2024-06-28,2024-07-09,2024-06-29,True,4,Agent_Smith,Closed,Upgraded firmware on collector array.,11.0
CS-1047,Summit Healthcare,Security Alert,High,2024-07-02,2024-07-07,2024-07-02,True,6,Agent_Taylor,Closed,Revoked leaked service account tokens.,5.0
CS-1048,Terra Transport,Billing,Low,2024-07-06,2024-07-19,,False,2,Agent_Johnson,Closed,Applied promotional credit voucher.,13.0
CS-1049,Ultra Marine,Technical Support,High,2024-07-10,2024-07-18,2024-07-10,True,5,Agent_Smith,Closed,Fixed vessel telematics parser error.,8.0
CS-1050,Vanguard Bio,Hardware,Medium,2024-07-15,2024-08-04,2024-07-16,True,6,Agent_Lee,Closed,Replaced spectrometer sensor bulb.,20.0
CS-1051,Waveform Audio,General Inquiry,Low,2024-07-19,2024-07-22,,False,1,Agent_Davis,Closed,Provided software changelog details.,3.0
CS-1052,Xenon Networks,Technical Support,Critical,2024-07-23,2024-07-29,2024-07-23,True,8,Agent_Taylor,Closed,Resolved BGP route flapping event.,6.0
CS-1053,Yield Farming Co,Billing,Medium,2024-07-27,2024-08-09,2024-07-28,True,3,Agent_Johnson,Closed,Corrected automated currency exchange rate.,13.0
CS-1054,Zenith Media,Account Access,Low,2024-08-01,2024-08-05,,False,2,Agent_Davis,Closed,Unlocked multi-factor auth lockout.,4.0
CS-1055,Apex Solutions,Technical Support,High,2024-08-05,2024-08-16,2024-08-05,True,6,Agent_Smith,Closed,Re-indexed Elasticsearch cluster.,11.0
CS-1056,BlueStar Logistics,Hardware,High,2024-08-09,2024-09-02,,False,8,Agent_Lee,Closed,Replaced handheld scanner batteries and charging dock.,24.0
CS-1057,Cascade Media,Billing,Medium,2024-08-14,2024-08-28,2024-08-15,True,4,Agent_Johnson,Closed,Resolved payment gateway timeout issue.,14.0
CS-1058,Delta Dynamics,Technical Support,Low,2024-08-18,2024-08-30,,False,3,Agent_Smith,Closed,Assisted in export formatting.,12.0
CS-1059,Epsilon Health,Security Alert,High,2024-08-22,2024-08-29,2024-08-22,True,7,Agent_Taylor,Closed,Conducted malware scan on file repository.,7.0
CS-1060,Falcon FinTech,Technical Support,Critical,2024-08-26,2024-09-02,2024-08-26,True,9,Agent_Taylor,Closed,Patched race condition in payment broker.,7.0
CS-1061,Galactic Retail,General Inquiry,Low,2024-08-30,2024-09-04,,False,2,Agent_Davis,Closed,Shared API deprecation timeline.,5.0
CS-1062,Horizon Energy,Hardware,Medium,2024-09-03,2024-09-25,2024-09-04,True,6,Agent_Lee,Closed,Replaced faulty power distribution unit.,22.0
CS-1063,Infinity Labs,Billing,High,2024-09-07,2024-09-21,2024-09-07,True,5,Agent_Johnson,Closed,Resolved unapplied enterprise wire transfer.,14.0
CS-1064,Jupiter Foods,Technical Support,Medium,2024-09-12,2024-09-24,2024-09-12,True,4,Agent_Smith,Closed,Fixed cold storage temperature alert trigger.,12.0
CS-1065,Kestrel Security,Security Alert,High,2024-09-16,2024-09-24,2024-09-16,True,6,Agent_Taylor,Closed,Remediated SSL certificate expiration alert.,8.0
CS-1066,Lunar Systems,Hardware,Low,2024-09-20,2024-10-12,,False,5,Agent_Lee,Closed,Replaced RAID array controller.,22.0
CS-1067,Matrix Global,Technical Support,High,2024-09-25,2024-10-06,2024-09-25,True,6,Agent_Smith,Closed,Optimized memory cache eviction policy.,11.0
CS-1068,Nexus Analytics,Billing,Medium,2024-09-29,2024-10-14,2024-09-30,True,4,Agent_Johnson,Closed,Clarified compute overage charges.,15.0
CS-1069,Omega Tech,General Inquiry,Low,2024-10-03,2024-10-08,,False,2,Agent_Davis,Closed,Provided security compliance whitepaper.,5.0
CS-1070,Pinnacle Corp,Technical Support,Critical,2024-10-08,2024-10-16,2024-10-08,True,10,Agent_Taylor,Closed,Recovered distributed cluster quorum.,8.0
CS-1071,Quantum Robotics,Hardware,High,2024-10-12,2024-11-06,,False,9,Agent_Lee,Closed,Repaired robotic arm servo feedback encoder.,25.0
CS-1072,Radiant Solar,Technical Support,Medium,2024-10-16,2024-10-30,2024-10-17,True,5,Agent_Smith,Closed,Restored inverter status telemetry feed.,14.0
CS-1073,Summit Healthcare,Security Alert,High,2024-10-20,2024-10-29,2024-10-20,True,7,Agent_Taylor,Closed,Investigated brute force attempt on VPN.,9.0
CS-1074,Terra Transport,Billing,Low,2024-10-25,2024-11-10,,False,3,Agent_Johnson,Closed,Resolved electronic billing portal dispute.,16.0
CS-1075,Ultra Marine,Technical Support,High,2024-10-29,2024-11-10,2024-10-29,True,6,Agent_Smith,Closed,Fixed satellite connection retry loop.,12.0
CS-1076,Vanguard Bio,Hardware,Medium,2024-11-03,2024-11-28,2024-11-04,True,7,Agent_Lee,Closed,Replaced centrifuge vibration damper.,25.0
CS-1077,Waveform Audio,General Inquiry,Low,2024-11-07,2024-11-12,,False,2,Agent_Davis,Closed,Sent SDK documentation link.,5.0
CS-1078,Xenon Networks,Technical Support,Critical,2024-11-12,2024-11-21,2024-11-12,True,9,Agent_Taylor,Closed,Rerouted compromised transit subnet.,9.0
CS-1079,Yield Farming Co,Billing,Medium,2024-11-16,2024-12-02,2024-11-17,True,4,Agent_Johnson,Closed,Corrected quarterly volume rebate tier.,16.0
CS-1080,Zenith Media,Account Access,Low,2024-11-20,2024-11-25,,False,2,Agent_Davis,Closed,Reset executive dashboard credentials.,5.0
CS-1081,Apex Solutions,Technical Support,High,2024-11-24,2024-12-08,2024-11-24,True,7,Agent_Smith,Closed,Resolved asynchronous worker queue starvation.,14.0
CS-1082,BlueStar Logistics,Hardware,High,2024-11-29,2024-12-28,,False,10,Agent_Lee,Closed,Replaced central conveyor tracking camera.,29.0
CS-1083,Cascade Media,Billing,Medium,2024-12-03,2024-12-20,2024-12-04,True,5,Agent_Johnson,Closed,Reconciled international VAT charges.,17.0
CS-1084,Delta Dynamics,Technical Support,Low,2024-12-07,2024-12-22,,False,3,Agent_Smith,Closed,Updated client desktop client build.,15.0
CS-1085,Epsilon Health,Security Alert,High,2024-12-12,2024-12-23,2024-12-12,True,8,Agent_Taylor,Closed,Patched zero-day exploit in medical telemetry service.,11.0
CS-1086,Falcon FinTech,Technical Support,Critical,2024-12-16,2024-12-27,2024-12-16,True,11,Agent_Taylor,Closed,Mitigated payment processing latency spike.,11.0
CS-1087,Galactic Retail,General Inquiry,Low,2024-12-20,2024-12-26,,False,2,Agent_Davis,Closed,Provided holiday API rate limit exceptions.,6.0
CS-1088,Horizon Energy,Hardware,Medium,2024-12-24,2025-01-20,2024-12-26,True,7,Agent_Lee,Closed,Replaced cold-damaged flow meter.,27.0
CS-1089,Infinity Labs,Billing,High,2024-12-29,2025-01-15,2024-12-29,True,6,Agent_Johnson,Closed,Consolidated annual research grant billing.,17.0
CS-1090,Jupiter Foods,Technical Support,Medium,2025-01-03,2025-01-18,2025-01-03,True,5,Agent_Smith,Closed,Fixed warehouse temperature threshold logging.,15.0
CS-1091,Kestrel Security,Security Alert,High,2025-01-07,2025-01-19,2025-01-07,True,7,Agent_Taylor,Closed,Hardened internal DNS resolution servers.,12.0
CS-1092,Lunar Systems,Hardware,Low,2025-01-11,2025-02-05,,False,6,Agent_Lee,Closed,Replaced failed chassis fan assembly.,25.0
CS-1093,Matrix Global,Technical Support,High,2025-01-16,2025-01-30,2025-01-16,True,7,Agent_Smith,Closed,Resolved PostgreSQL connection pool exhaustion.,14.0
CS-1094,Nexus Analytics,Billing,Medium,2025-01-20,2025-02-06,2025-01-21,True,5,Agent_Johnson,Closed,Adjusted multi-tenant storage apportionment.,17.0
CS-1095,Omega Tech,General Inquiry,Low,2025-01-25,2025-01-31,,False,2,Agent_Davis,Closed,Answered SOC2 compliance inquiries.,6.0
CS-1096,Pinnacle Corp,Technical Support,Critical,2025-01-29,2025-02-09,2025-01-29,True,12,Agent_Taylor,Closed,Restored active-passive database failover.,11.0
CS-1097,Quantum Robotics,Hardware,High,2025-02-03,2025-03-02,,False,11,Agent_Lee,Closed,Replaced robotic arm main umbilical cable.,27.0
CS-1098,Radiant Solar,Technical Support,Medium,2025-02-07,2025-02-24,2025-02-08,True,6,Agent_Smith,Closed,Calibrated weather station solar sensor.,17.0
CS-1099,Summit Healthcare,Security Alert,High,2025-02-12,2025-02-23,2025-02-12,True,8,Agent_Taylor,Closed,Audited IAM role privilege escalation.,11.0
CS-1100,Terra Transport,Billing,Low,2025-02-16,2025-03-05,,False,3,Agent_Johnson,Closed,Resolved recurring fuel surcharge billing discrepancy.,17.0
CS-1104,Negative Contacts Inc,Billing,Low,2024-06-01,2024-06-10,,False,4,Agent_Johnson,Closed,Negative contact count recorded by mistake.,9.0
CS-1105,Outlier Contacts Ltd,Technical Support,High,2024-07-01,2024-07-10,2024-07-01,True,4,Agent_Smith,Closed,Spam bot inflated contact count to extreme outlier.,9.0
CS-1106,Missing Category Corp,Uncategorized,Medium,2024-08-01,2024-08-10,2024-08-01,True,3,Agent_Davis,Closed,Missing category attribute.,9.0
CS-1107,Invalid Priority Inc,Technical Support,Critical,2024-09-01,2024-09-10,2024-09-01,True,4,Agent_Taylor,Closed,Non-standard priority string.,9.0
CS-1108,Open Case Enterprise,Hardware,High,2025-02-20,,,False,2,Agent_Lee,Open,Still active case with no closure date.,
CS-1111,Fuzzy Matching Co,Technical Support,Medium,2024-04-10,2024-04-15,2024-04-10,True,3,Agent_Smith,Closed,Resolved database lock timeout.,5.0
CS-1112,Fuzzy Matching Company,Technical Support,Medium,2024-04-10,2024-04-15,2024-04-10,True,3,Agent_Smith,Closed,Resolved database lock timeout.,5.0
CS-1113,European Date Format,Billing,High,2024-05-15,2024-05-25,2024-05-15,True,4,Agent_Johnson,Closed,European DD/MM/YYYY date formatting.,10.0
CS-1114,US Slash Format,Billing,High,2024-06-15,2024-06-28,2024-06-15,True,3,Agent_Johnson,Closed,US MM/DD/YYYY date formatting.,13.0
CS-1115,Dotted Date Format,General Inquiry,Low,2024-07-01,2024-07-08,,False,2,Agent_Davis,Closed,Dot-separated date formatting.,7.0
CS-1116,Invalid Status Co,Technical Support,Low,2024-08-10,2024-08-15,,False,2,Agent_Smith,UNKNOWN_STATUS,Invalid status enum string.,5.0
CS-1117,Hyphen Casing Dept,Technical Support,High,2024-09-05,2024-09-12,2024-09-05,True,4,Agent_Smith,Closed,Hyphenated category variation.,7.0
CS-1118,Billing Query Org,Billing,Medium,2024-10-10,2024-10-20,2024-10-10,True,3,Agent_Johnson,Closed,Unstandardized uppercase hyphenated category.,10.0
CS-1119,Hardware Repairs Group,Hardware,High,2024-11-01,2024-11-20,,False,7,Agent_Lee,Closed,Underscore hardware category variation.,19.0
CS-1120,Weird Alias Client,weird_unresolvable_category_x,Low,2024-12-01,2024-12-10,,False,2,Agent_Davis,Closed,Completely unresolvable novel category.,9.0
